,address,ward,application number,application type,date submitted,status,description,link
0,35 admiral rd,ward 11: university-rosedale,21 157248 ste 11 mv,minor variance,19/05/2021,tlab appeal,"to alter the existing three-storey dwelling by constructing: a front porch, and to permit a front yard parking space and a driveway. also, to alter the interior of the third floor.",http://app.toronto.ca/AIC/index.do?folderRsn=dUVKjT16%2Fgcso2Nwm0ZCpw%3D%3D
1,35 admiral rd,ward 11: university-rosedale,22 117902 s45 11 tlab,toronto local appeal body,28/02/2022,decision issued,"to alter the existing three-storey dwelling by constructing: a front porch, and to permit a front yard parking space and a driveway. also, to alter the interior of the third floor.",http://app.toronto.ca/AIC/index.do?folderRsn=g04ccpw7%2FMhziwFYBBtZLQ%3D%3D
2,6 admiral rd,ward 11: university-rosedale,21 159268 ste 11 mv,minor variance,22/05/2021,postponed,"to alter the existing two-storey semi-detached dwelling by constructing a third storey addition, two-storey rear addition, front porch and rear deck.",http://app.toronto.ca/AIC/index.do?folderRsn=HUGD8ti%2BPzP5UO6ZTo1oXg%3D%3D
3,1109 bathurst st,ward 11: university-rosedale,20 159922 ste 11 oz,rezoning,24/06/2020,omb appeal,"zoning by-law amendment application for a proposed 9-storey non-residential building containing commercial self-storage uses.  a total of 13, 567 square metres of non-residential floor area is proposed.",http://app.toronto.ca/AIC/index.do?folderRsn=8LBnaljMSUsKMfv6TraSSg%3D%3D
4,26 albany ave,ward 11: university-rosedale,22 127776 ste 11 mv,minor variance,28/03/2022,hearing scheduled,"to construct a new ancillary structure (two-car detached garage) in the rear yard of the existing four-unit, semi-detached dwelling to replace two existing rear parking spaces.",http://app.toronto.ca/AIC/index.do?folderRsn=4Y0XWDQryZZFVm7UgVEO7A%3D%3D
5,275 albany ave,ward 11: university-rosedale,15 256733 ste 20 oz,opa & rezoning,25/11/2015,closed,application for official plan amendment and rezoning in order to permit the redevelopment of the site for a 12-storey mixeduse development comprising approximately 296 condominium apartments and 2301 square metres of grade related retail space.,http://app.toronto.ca/AIC/index.do?folderRsn=tuHMW6ZCLwU1I0atVCf%2BGA%3D%3D
6,2 ardwold gt,ward 12: toronto-st. paul's,,,,,,http://app.toronto.ca/AIC/index.do?folderRsn=06WSEeeBXPiaK3DustwxVQ%3D%3D
7,58 ardwold gt,ward 12: toronto-st. paul's,22 116616 ste 12 mv,minor variance,23/02/2022,tlab appeal,to alter the existing two-storey detached dwelling by constructing a rear two-storey addition and rear second storey additions as well as two-storey side additions.,http://app.toronto.ca/AIC/index.do?folderRsn=UIvzrMeuIZr64gcsS9gpEw%3D%3D
8,58 ardwold gt,ward 12: toronto-st. paul's,22 156546 s45 12 tlab,toronto local appeal body,03/06/2022,hearing scheduled,to alter the existing two-storey detached dwelling by constructing a rear two-storey addition and rear second storey additions as well as two-storey side additions.,http://app.toronto.ca/AIC/index.do?folderRsn=o574deCc6oRXQGP%2FFtYWOQ%3D%3D
9,12 austin cres,ward 12: toronto-st. paul's,21 251808 ste 12 mv,minor variance,28/12/2021,closed,to alter the existing 2½-storey detached dwelling by constructing a new 1½-storey attached garage on the west side of the dwelling.,http://app.toronto.ca/AIC/index.do?folderRsn=RgxI2Kt19TDA%2BVy%2FFCLOeg%3D%3D
10,14-16 austin ter,ward 12: toronto-st. paul's,22 163068 ste 12 co,application for consent,16/06/2022,accepted,to sever existing lot with semi detached building into two lots.,http://app.toronto.ca/AIC/index.do?folderRsn=gTCVfT9FebtbPruU%2Fuohjw%3D%3D
11,17 austin ter,ward 12: toronto-st. paul's,22 112947 ste 12 mv,minor variance,10/02/2022,tlab appeal,"to construct a new three-storey detached dwelling with a ground floor deck, a second floor balcony and a third floor terrace. also, to permit a front yard parking pad. the existing two-storey dwelling will be demolished.",http://app.toronto.ca/AIC/index.do?folderRsn=S9eHD7nMyq3r4lWyTi1rsA%3D%3D
12,17 austin ter,ward 12: toronto-st. paul's,22 153716 s45 12 tlab,toronto local appeal body,30/05/2022,decision issued,"to construct a new three-storey detached dwelling with a ground floor deck, a second floor balcony and a third floor terrace. also, to permit a front yard parking pad. the existing two-storey dwelling will be demolished.",http://app.toronto.ca/AIC/index.do?folderRsn=uGcn3LEqE2t%2Fne6gLuF1jg%3D%3D
13,104 avenue rd,ward 11: university-rosedale,21 152076 ste 11 mv,minor variance,08/05/2021,accepted,to alter the existing three-storey semi-detached mixed-use building by constructing a partial third storey addition and a partially covered rooftop patio.,http://app.toronto.ca/AIC/index.do?folderRsn=v4dI%2BqUtOTzMHIu35QV5pQ%3D%3D
14,110 avenue rd,ward 11: university-rosedale,21 207592 ste 11 oz,rezoning,02/09/2021,under review,"zoning by-law amendment to facilitate the development of the site for a 9-storey mixed-use building having a non-residential gross floor area of 350 square metres, and a residential gross floor area of 4,750 square metres.  a total of 45 residential dwelling units are proposed.",http://app.toronto.ca/AIC/index.do?folderRsn=bu3tqLak9d2Vp7Bz2mPfrg%3D%3D
15,121 avenue rd,ward 11: university-rosedale,18 149949 ste 27 sa,site plan approval,27/04/2018,under review,"site plan control application for an 8-storey (29 metres, 34 metres to the top of the mechanical penthouse) mixed-use building with a total gross floor area of 3,300 square metres which includes 286 square metres of retail at grade. a total of 16 dwelling units are proposed.  parking is proposed in the form of automated parking stackers, providing a total of 35 parking spaces.",http://app.toronto.ca/AIC/index.do?folderRsn=X9iL64%2Bim7SgzCVUcfOe6A%3D%3D
16,148 avenue rd,ward 11: university-rosedale,21 178720 ste 11 oz,rezoning,02/07/2021,under review,"zoning by-law amendment application to facilitate the development of a 35-storey mixed-use building, atop a 3-storey podium.  the existing building facade shall be maintained.  the proposed non-residential gross floor area is 374.9 square metres, and the proposed residential gross floor area is 25,295.10 square metres.  a total of 355 residential units are proposed.",http://app.toronto.ca/AIC/index.do?folderRsn=X9iL64%2Bim7SgzCVUcfOe6A%3D%3D
